state,candidate2008,party2008,total2008
Alabama,McCain,R,"1,266,546"
Alabama,Obama,D,"813,479"
Alabama,Nader,I,"6,788"
Alabama,Barr,I,"4,991"
Alabama,Baldwin,I,"4,310"
Alabama,Scattered,W,"3,705"
Alabama,,,"2,099,819"
Alaska,McCain,R,"193,841"
Alaska,Obama,D,"123,594"
Alaska,Nader,I,"3,783"
Alaska,Scattered,W,"1,730"
Alaska,Baldwin,AKI,"1,660"
Alaska,Barr,LBT,"1,589"
Alaska,,,"326,197"
Arizona,McCain,R,"1,230,111"
Arizona,Obama,D,"1,034,707"
Arizona,Barr,LBT,"12,555"
Arizona,Nader,I,"11,301"
Arizona,McKinney,GRE,"3,406"
Arizona,Baldwin,W,"1,371"
Arizona,Jay,W,16
Arizona,Allen,W,8
Arizona,,,"2,293,475"
Arkansas,McCain,R,"638,017"
Arkansas,Obama,D,"422,310"
Arkansas,Nader,I,"12,882"
Arkansas,Barr,LBT,"4,776"
Arkansas,Baldwin,CON,"4,023"
Arkansas,McKinney,GRE,"3,470"
Arkansas,La Riva,SLP,"1,139"
Arkansas,,,"1,086,617"
California,Obama,D,"8,274,473"
California,McCain,R,"5,011,781"
California,Nader,PAF,"108,381"
California,Barr,LBT,"67,582"
California,Keyes,AIP,"40,673"
California,McKinney,GRE,"38,774"
California,Paul,W,"17,006"
California,Baldwin,W,"3,145"
California,Harris,W,49
California,Moore,W,36
California,,,"13,561,900"
Colorado,Obama,D,"1,288,633"
Colorado,McCain,R,"1,073,629"
Colorado,Nader,UN,"13,352"
Colorado,Barr,LBC,"10,898"
Colorado,Baldwin,CON,"6,233"
Colorado,Keyes,AMI,"3,051"
Colorado,McKinney,GRC,"2,822"
Colorado,McEnulty,UN,829
Colorado,Jay,BTP,598
Colorado,Allen,HQK,348
Colorado,Stevens,OBJ,336
Colorado,Moore,SOC,226
Colorado,La Riva,SLP,158
Colorado,Harris,SWP,154
Colorado,Lyttle,USP,110
Colorado,Amondson,P,85
Colorado,,,"2,401,462"
Connecticut,Obama,D,"997,772"
Connecticut,McCain,R,"629,428"
Connecticut,Nader,I,"19,162"
Connecticut,Baldwin,W,311
Connecticut,McKinney,W,90
Connecticut,Moore,W,19
Connecticut,Calero,W,15
Connecticut,,,"1,646,797"
Delaware,Obama,D,"255,459"
Delaware,McCain,R,"152,374"
Delaware,Nader,IDE,"2,401"
Delaware,Barr,LBT,"1,109"
Delaware,Baldwin,CON,626
Delaware,McKinney,GRE,385
Delaware,Calero,SWP,58
Delaware,,,"412,412"
District of Columbia,Obama,D,"245,800"
District of Columbia,McCain,R,"17,367"
District of Columbia,Scattered,W,"1,138"
District of Columbia,Nader,I,958
District of Columbia,McKinney,DCG,590
District of Columbia,,,"265,853"
Florida,Obama,D,"4,282,074"
Florida,McCain,R,"4,045,624"
Florida,Nader,ECO,"28,124"
Florida,Barr,LBF,"17,218"
Florida,Baldwin,CPF,"7,915"
Florida,McKinney,GPF,"2,887"
Florida,Keyes,AIF,"2,550"
Florida,La Riva,FSL,"1,516"
Florida,Jay,BTP,795
Florida,Harris,FSW,533
Florida,Stevens,OBF,419
Florida,Moore,SFL,405
Florida,Nettles,W,391
Florida,Amondson,P,293
Florida,,,"8,390,744"
Georgia,McCain,R,"2,048,759"
